HEURISTIC,MAKESPAN,AVERAGE TIME OF JOB,LATENESS,SLA VIOLATION
normal_criticalRatio,4554,372.3468,3675933,3629255
normal_earliestDueDate,4544,435.2441,4304906,4258228
normal_random,4565,396.6727,3919192,3872514
normal_roundRobin,4540,435.6611,4309076,4262398
normal_shortestProcessingTime,4554,263.1981,2584446,2537768
uniform_criticalRatio,10066,6.1214,6137,-48566
uniform_earliestDueDate,10065,5.9953,4876,-49827
uniform_random,10066,6.027,5193,-49510
uniform_roundRobin,10066,6.0771,5694,-49009
uniform_shortestProcessingTime,10067,5.9532,4455,-50248
